127.0.0.1 - - [07/Jul/2013:19:55:46 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:01 -0400] "GET /LessTutorial/ HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:15 -0400] "GET /HelloLess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:15 -0400] "GET /HelloLess/ HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:15 -0400] "GET /HelloLess/styles/style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:18 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:18 -0400] "GET /HelloLess/styles/style.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:42 -0400] "GET /HelloLess/ HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:42 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:54 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:54 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:56 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:56 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:57 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:57 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:58 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:58 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:58 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:58 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:59 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:56:59 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:13 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:13 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:14 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:14 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:36 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:36 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:57 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:57:57 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:03 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:03 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:21 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:21 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:33 -0400] "GET /HelloLess/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2013:19:58:33 -0400] "GET /HelloLess/styles/myStyle.css HTTP/1.1" 200 56
